,address,eth_balance
26102,0xc3e6f6a02e02c618b99c020b06332acd2e0131a8,200.11991042
26137,0xd6988ee99cdbd1eeef6407e3b4d5fd453efc91b9,200.09508907
26188,0x2dcc1ba0b58e86ef47040176fd8ccf6623fddcd6,200.04721818
26391,0x6b353ad283eb3f7352e3aa6077a26b3837cb9d9d,200
26474,0x7496335100bd748b5fffd57498a742d629599525,200
26608,0x77a9ae744ddbf0ad39c3dadc3cb2a9add21bcf3d,199.999559
26627,0xc833192d5081140bae315e206f1be726514d3281,199.99937
26746,0xdee243a0d1ce2cee1e44c76ceade7c5c9f8db49e,199.926895013690019484
26827,0x81c50d343b8a6587425685596d5805a41cf06ab2,199.542
26840,0x658eb94827f493f092690e061a74e7561efeb6ec,199.452845080471130515
26950,0x9aea0ddc15c354db5cbfc3a3a2bb79159dac4f3f,198.715361861425816404
27077,0xbd7de3928e677aa55d23b6ec87284a956bea6300,197.2163268
27225,0xc559027c2364668d0fd3641a1a2363423a5566ad,195.606022992566324354
27353,0x2ecfab905c1490608adba8ec2ae9a32b55332ced,194.33111773
27364,0xb70ebdfa1e21f16089cc14000bd41273199d2066,194.162024027109487561
27477,0x7eb2b7a8e8d355e9014897a1c919eb149dac1cf2,192.89863493989989801
27657,0x817d81724f617c661225b209a5b369dceef68fca,190.94500916101824552
27680,0x4e591b021ad5f51ca8e948ea22b0259ae494d4f4,190.740327239328243995
27789,0xef0be4c42d30481c0ca9c43f6956b2906dd28123,189.997770409776270647
27873,0x6393e18ec94819f6d91ca6c90a8fdca2ddd32abd,189.28109904079302016
27887,0x9c9982f3228ad56a175d6c17fb3986f10fd774fc,189.153
27890,0xae6d214f95fe3faa0e40345e4661cdd25682a2f4,189.11904039
28035,0x49464d0d797aea5ea7b96d7c855d12b3b72d1a30,187.68615
28368,0xf444d9ffbcd47a8861acbbf7697b2994faa87293,184.40621674566808202
28517,0xe8a5b6dba27ffa8bbd80c421f412faf06da6cb1b,182.839085400761941074
28569,0x1367b3def390ba3eb2c0fe3f06677adf9b1376f0,182.442459840241496326
28578,0xc0369298dce02cee3ba54af576a9ec891d0f8f3b,182.363
28592,0xdc55d67b94b080a6376204480ab939580746fd73,182.2489076
28639,0x287239c1c1bd4f9d3691366a4b45f0da4b527e9a,181.789262218847942132
28722,0x8d040c035e39dece8e5a1caad10d663e92809bcb,181.038027622214148
28865,0xdd6bff3d6177285c628d5261fd9a9cfb0d3416b2,180.017227530381531
